mode,rel_ba_pct,p,lr,steps,seed,pairs_csv,bh_macro,model_dir
ilm,25.0,0.8,1e-05,10,0,runs/ilm_wt2_p080_lr1e-05_s0_t10/bh_ilm_p080_lr1e-05_s0_t10.csv,0.6654534271121141,runs/ilm_wt2_p080_lr1e-05_s0_t10
erm,25.0,0.8,1e-05,10,0,runs/erm_wt2_p080_lr1e-05_s0_t10/bh_erm_p080_lr1e-05_s0_t10.csv,0.6608374306719144,runs/erm_wt2_p080_lr1e-05_s0_t10
ilm,25.0,0.8,1e-05,10,1,runs/ilm_wt2_p080_lr1e-05_s1_t10/bh_ilm_p080_lr1e-05_s1_t10.csv,0.6604181429480398,runs/ilm_wt2_p080_lr1e-05_s1_t10
erm,25.0,0.8,1e-05,10,1,runs/erm_wt2_p080_lr1e-05_s1_t10/bh_erm_p080_lr1e-05_s1_t10.csv,0.6598209250597851,runs/erm_wt2_p080_lr1e-05_s1_t10
ilm,25.0,0.8,1e-05,10,2,runs/ilm_wt2_p080_lr1e-05_s2_t10/bh_ilm_p080_lr1e-05_s2_t10.csv,0.6559920921035639,runs/ilm_wt2_p080_lr1e-05_s2_t10
erm,25.0,0.8,1e-05,10,2,runs/erm_wt2_p080_lr1e-05_s2_t10/bh_erm_p080_lr1e-05_s2_t10.csv,0.6623185020042819,runs/erm_wt2_p080_lr1e-05_s2_t10
ilm,25.0,0.8,1e-05,10,3,runs/ilm_wt2_p080_lr1e-05_s3_t10/bh_ilm_p080_lr1e-05_s3_t10.csv,0.654852273561398,runs/ilm_wt2_p080_lr1e-05_s3_t10
erm,25.0,0.8,1e-05,10,3,runs/erm_wt2_p080_lr1e-05_s3_t10/bh_erm_p080_lr1e-05_s3_t10.csv,0.6613125805931832,runs/erm_wt2_p080_lr1e-05_s3_t10
ilm,25.0,0.8,1e-05,10,4,runs/ilm_wt2_p080_lr1e-05_s4_t10/bh_ilm_p080_lr1e-05_s4_t10.csv,0.651081283450562,runs/ilm_wt2_p080_lr1e-05_s4_t10
erm,25.0,0.8,1e-05,10,4,runs/erm_wt2_p080_lr1e-05_s4_t10/bh_erm_p080_lr1e-05_s4_t10.csv,0.6633176145180616,runs/erm_wt2_p080_lr1e-05_s4_t10
ilm,25.0,0.8,1e-05,50,0,runs/ilm_wt2_p080_lr1e-05_s0_t50/bh_ilm_p080_lr1e-05_s0_t50.csv,0.6816360156940818,runs/ilm_wt2_p080_lr1e-05_s0_t50
erm,25.0,0.8,1e-05,50,0,runs/erm_wt2_p080_lr1e-05_s0_t50/bh_erm_p080_lr1e-05_s0_t50.csv,0.663908405696816,runs/erm_wt2_p080_lr1e-05_s0_t50
ilm,25.0,0.8,1e-05,50,1,runs/ilm_wt2_p080_lr1e-05_s1_t50/bh_ilm_p080_lr1e-05_s1_t50.csv,0.6505209498712585,runs/ilm_wt2_p080_lr1e-05_s1_t50
erm,25.0,0.8,1e-05,50,1,runs/erm_wt2_p080_lr1e-05_s1_t50/bh_erm_p080_lr1e-05_s1_t50.csv,0.6742123249088954,runs/erm_wt2_p080_lr1e-05_s1_t50
ilm,25.0,0.8,1e-05,50,2,runs/ilm_wt2_p080_lr1e-05_s2_t50/bh_ilm_p080_lr1e-05_s2_t50.csv,0.664768270301297,runs/ilm_wt2_p080_lr1e-05_s2_t50
erm,25.0,0.8,1e-05,50,2,runs/erm_wt2_p080_lr1e-05_s2_t50/bh_erm_p080_lr1e-05_s2_t50.csv,0.6680093388528106,runs/erm_wt2_p080_lr1e-05_s2_t50
ilm,25.0,0.8,1e-05,50,3,runs/ilm_wt2_p080_lr1e-05_s3_t50/bh_ilm_p080_lr1e-05_s3_t50.csv,0.6453750919544377,runs/ilm_wt2_p080_lr1e-05_s3_t50
erm,25.0,0.8,1e-05,50,3,runs/erm_wt2_p080_lr1e-05_s3_t50/bh_erm_p080_lr1e-05_s3_t50.csv,0.6654182347394774,runs/erm_wt2_p080_lr1e-05_s3_t50
ilm,25.0,0.8,1e-05,50,4,runs/ilm_wt2_p080_lr1e-05_s4_t50/bh_ilm_p080_lr1e-05_s4_t50.csv,0.6503342533274161,runs/ilm_wt2_p080_lr1e-05_s4_t50
erm,25.0,0.8,1e-05,50,4,runs/erm_wt2_p080_lr1e-05_s4_t50/bh_erm_p080_lr1e-05_s4_t50.csv,0.6497416544535703,runs/erm_wt2_p080_lr1e-05_s4_t50
ilm,25.0,0.8,1e-05,100,0,runs/ilm_wt2_p080_lr1e-05_s0_t100/bh_ilm_p080_lr1e-05_s0_t100.csv,0.6603064746696645,runs/ilm_wt2_p080_lr1e-05_s0_t100
erm,25.0,0.8,1e-05,100,0,runs/erm_wt2_p080_lr1e-05_s0_t100/bh_erm_p080_lr1e-05_s0_t100.csv,0.6653779932231559,runs/erm_wt2_p080_lr1e-05_s0_t100
ilm,25.0,0.8,1e-05,100,1,runs/ilm_wt2_p080_lr1e-05_s1_t100/bh_ilm_p080_lr1e-05_s1_t100.csv,0.641252572235367,runs/ilm_wt2_p080_lr1e-05_s1_t100
erm,25.0,0.8,1e-05,100,1,runs/erm_wt2_p080_lr1e-05_s1_t100/bh_erm_p080_lr1e-05_s1_t100.csv,0.6664923379926531,runs/erm_wt2_p080_lr1e-05_s1_t100
ilm,25.0,0.8,1e-05,100,2,runs/ilm_wt2_p080_lr1e-05_s2_t100/bh_ilm_p080_lr1e-05_s2_t100.csv,0.6488338302323413,runs/ilm_wt2_p080_lr1e-05_s2_t100
erm,25.0,0.8,1e-05,100,2,runs/erm_wt2_p080_lr1e-05_s2_t100/bh_erm_p080_lr1e-05_s2_t100.csv,0.6758172304176676,runs/erm_wt2_p080_lr1e-05_s2_t100
ilm,25.0,0.8,1e-05,100,3,runs/ilm_wt2_p080_lr1e-05_s3_t100/bh_ilm_p080_lr1e-05_s3_t100.csv,0.6515517924914641,runs/ilm_wt2_p080_lr1e-05_s3_t100
erm,25.0,0.8,1e-05,100,3,runs/erm_wt2_p080_lr1e-05_s3_t100/bh_erm_p080_lr1e-05_s3_t100.csv,0.6793036849747867,runs/erm_wt2_p080_lr1e-05_s3_t100
ilm,25.0,0.8,1e-05,100,4,runs/ilm_wt2_p080_lr1e-05_s4_t100/bh_ilm_p080_lr1e-05_s4_t100.csv,0.6464254096143258,runs/ilm_wt2_p080_lr1e-05_s4_t100
erm,25.0,0.8,1e-05,100,4,runs/erm_wt2_p080_lr1e-05_s4_t100/bh_erm_p080_lr1e-05_s4_t100.csv,0.6624391537524126,runs/erm_wt2_p080_lr1e-05_s4_t100
ilm,25.0,0.8,1e-05,200,0,runs/ilm_wt2_p080_lr1e-05_s0_t200/bh_ilm_p080_lr1e-05_s0_t200.csv,0.6429765410264721,runs/ilm_wt2_p080_lr1e-05_s0_t200
erm,25.0,0.8,1e-05,200,0,runs/erm_wt2_p080_lr1e-05_s0_t200/bh_erm_p080_lr1e-05_s0_t200.csv,0.6552779735451922,runs/erm_wt2_p080_lr1e-05_s0_t200
ilm,25.0,0.8,1e-05,200,1,runs/ilm_wt2_p080_lr1e-05_s1_t200/bh_ilm_p080_lr1e-05_s1_t200.csv,0.6332015971681475,runs/ilm_wt2_p080_lr1e-05_s1_t200
erm,25.0,0.8,1e-05,200,1,runs/erm_wt2_p080_lr1e-05_s1_t200/bh_erm_p080_lr1e-05_s1_t200.csv,0.6648814122654924,runs/erm_wt2_p080_lr1e-05_s1_t200
ilm,25.0,0.8,1e-05,200,2,runs/ilm_wt2_p080_lr1e-05_s2_t200/bh_ilm_p080_lr1e-05_s2_t200.csv,0.6397538202983585,runs/ilm_wt2_p080_lr1e-05_s2_t200
erm,25.0,0.8,1e-05,200,2,runs/erm_wt2_p080_lr1e-05_s2_t200/bh_erm_p080_lr1e-05_s2_t200.csv,0.6807553703287881,runs/erm_wt2_p080_lr1e-05_s2_t200
ilm,25.0,0.8,1e-05,200,3,runs/ilm_wt2_p080_lr1e-05_s3_t200/bh_ilm_p080_lr1e-05_s3_t200.csv,0.6380674149416234,runs/ilm_wt2_p080_lr1e-05_s3_t200
erm,25.0,0.8,1e-05,200,3,runs/erm_wt2_p080_lr1e-05_s3_t200/bh_erm_p080_lr1e-05_s3_t200.csv,0.6658453028951464,runs/erm_wt2_p080_lr1e-05_s3_t200
ilm,25.0,0.8,1e-05,200,4,runs/ilm_wt2_p080_lr1e-05_s4_t200/bh_ilm_p080_lr1e-05_s4_t200.csv,0.6254316672656868,runs/ilm_wt2_p080_lr1e-05_s4_t200
erm,25.0,0.8,1e-05,200,4,runs/erm_wt2_p080_lr1e-05_s4_t200/bh_erm_p080_lr1e-05_s4_t200.csv,0.6672318868673733,runs/erm_wt2_p080_lr1e-05_s4_t200
ilm,25.0,0.8,1e-05,1000,0,runs/ilm_wt2_p080_lr1e-05_s0_t1000/bh_ilm_p080_lr1e-05_s0_t1000.csv,0.5868587536977768,runs/ilm_wt2_p080_lr1e-05_s0_t1000
erm,25.0,0.8,1e-05,1000,0,runs/erm_wt2_p080_lr1e-05_s0_t1000/bh_erm_p080_lr1e-05_s0_t1000.csv,0.6510747539363352,runs/erm_wt2_p080_lr1e-05_s0_t1000
ilm,25.0,0.8,1e-05,1000,1,runs/ilm_wt2_p080_lr1e-05_s1_t1000/bh_ilm_p080_lr1e-05_s1_t1000.csv,0.5928021384677475,runs/ilm_wt2_p080_lr1e-05_s1_t1000
erm,25.0,0.8,1e-05,1000,1,runs/erm_wt2_p080_lr1e-05_s1_t1000/bh_erm_p080_lr1e-05_s1_t1000.csv,0.6521435828097272,runs/erm_wt2_p080_lr1e-05_s1_t1000
ilm,25.0,0.8,1e-05,1000,2,runs/ilm_wt2_p080_lr1e-05_s2_t1000/bh_ilm_p080_lr1e-05_s2_t1000.csv,0.5895810570458629,runs/ilm_wt2_p080_lr1e-05_s2_t1000
erm,25.0,0.8,1e-05,1000,2,runs/erm_wt2_p080_lr1e-05_s2_t1000/bh_erm_p080_lr1e-05_s2_t1000.csv,0.6616614077562954,runs/erm_wt2_p080_lr1e-05_s2_t1000
ilm,25.0,0.8,1e-05,1000,3,runs/ilm_wt2_p080_lr1e-05_s3_t1000/bh_ilm_p080_lr1e-05_s3_t1000.csv,0.5873038797781465,runs/ilm_wt2_p080_lr1e-05_s3_t1000
erm,25.0,0.8,1e-05,1000,3,runs/erm_wt2_p080_lr1e-05_s3_t1000/bh_erm_p080_lr1e-05_s3_t1000.csv,0.6477025773496443,runs/erm_wt2_p080_lr1e-05_s3_t1000
ilm,25.0,0.8,1e-05,1000,4,runs/ilm_wt2_p080_lr1e-05_s4_t1000/bh_ilm_p080_lr1e-05_s4_t1000.csv,0.5950120014831142,runs/ilm_wt2_p080_lr1e-05_s4_t1000
erm,25.0,0.8,1e-05,1000,4,runs/erm_wt2_p080_lr1e-05_s4_t1000/bh_erm_p080_lr1e-05_s4_t1000.csv,0.6548987157292958,runs/erm_wt2_p080_lr1e-05_s4_t1000
ilm,25.0,0.8,1e-05,2500,0,runs/ilm_wt2_p080_lr1e-05_s0_t2500/bh_ilm_p080_lr1e-05_s0_t2500.csv,0.5388381821117499,runs/ilm_wt2_p080_lr1e-05_s0_t2500
erm,25.0,0.8,1e-05,2500,0,runs/erm_wt2_p080_lr1e-05_s0_t2500/bh_erm_p080_lr1e-05_s0_t2500.csv,0.6362557362326295,runs/erm_wt2_p080_lr1e-05_s0_t2500
ilm,25.0,0.8,1e-05,2500,1,runs/ilm_wt2_p080_lr1e-05_s1_t2500/bh_ilm_p080_lr1e-05_s1_t2500.csv,0.553686237755153,runs/ilm_wt2_p080_lr1e-05_s1_t2500
erm,25.0,0.8,1e-05,2500,1,runs/erm_wt2_p080_lr1e-05_s1_t2500/bh_erm_p080_lr1e-05_s1_t2500.csv,0.6403718186901018,runs/erm_wt2_p080_lr1e-05_s1_t2500
ilm,25.0,0.8,1e-05,2500,2,runs/ilm_wt2_p080_lr1e-05_s2_t2500/bh_ilm_p080_lr1e-05_s2_t2500.csv,0.5465009333032144,runs/ilm_wt2_p080_lr1e-05_s2_t2500
erm,25.0,0.8,1e-05,2500,2,runs/erm_wt2_p080_lr1e-05_s2_t2500/bh_erm_p080_lr1e-05_s2_t2500.csv,0.6447201644966718,runs/erm_wt2_p080_lr1e-05_s2_t2500
ilm,25.0,0.8,1e-05,2500,3,runs/ilm_wt2_p080_lr1e-05_s3_t2500/bh_ilm_p080_lr1e-05_s3_t2500.csv,0.5583952576966701,runs/ilm_wt2_p080_lr1e-05_s3_t2500
erm,25.0,0.8,1e-05,2500,3,runs/erm_wt2_p080_lr1e-05_s3_t2500/bh_erm_p080_lr1e-05_s3_t2500.csv,0.6368647001748715,runs/erm_wt2_p080_lr1e-05_s3_t2500
ilm,25.0,0.8,1e-05,2500,4,runs/ilm_wt2_p080_lr1e-05_s4_t2500/bh_ilm_p080_lr1e-05_s4_t2500.csv,0.5544362562274059,runs/ilm_wt2_p080_lr1e-05_s4_t2500
erm,25.0,0.8,1e-05,2500,4,runs/erm_wt2_p080_lr1e-05_s4_t2500/bh_erm_p080_lr1e-05_s4_t2500.csv,0.6373245877447129,runs/erm_wt2_p080_lr1e-05_s4_t2500
ilm,25.0,0.8,5e-05,10,0,runs/ilm_wt2_p080_lr5e-05_s0_t10/bh_ilm_p080_lr5e-05_s0_t10.csv,0.6761146015399755,runs/ilm_wt2_p080_lr5e-05_s0_t10
erm,25.0,0.8,5e-05,10,0,runs/erm_wt2_p080_lr5e-05_s0_t10/bh_erm_p080_lr5e-05_s0_t10.csv,0.6575179931755449,runs/erm_wt2_p080_lr5e-05_s0_t10
ilm,25.0,0.8,5e-05,10,1,runs/ilm_wt2_p080_lr5e-05_s1_t10/bh_ilm_p080_lr5e-05_s1_t10.csv,0.6588429615093203,runs/ilm_wt2_p080_lr5e-05_s1_t10
erm,25.0,0.8,5e-05,10,1,runs/erm_wt2_p080_lr5e-05_s1_t10/bh_erm_p080_lr5e-05_s1_t10.csv,0.6664834478639057,runs/erm_wt2_p080_lr5e-05_s1_t10
ilm,25.0,0.8,5e-05,10,2,runs/ilm_wt2_p080_lr5e-05_s2_t10/bh_ilm_p080_lr5e-05_s2_t10.csv,0.6557507417335806,runs/ilm_wt2_p080_lr5e-05_s2_t10
erm,25.0,0.8,5e-05,10,2,runs/erm_wt2_p080_lr5e-05_s2_t10/bh_erm_p080_lr5e-05_s2_t10.csv,0.6645592000172942,runs/erm_wt2_p080_lr5e-05_s2_t10
ilm,25.0,0.8,5e-05,10,3,runs/ilm_wt2_p080_lr5e-05_s3_t10/bh_ilm_p080_lr5e-05_s3_t10.csv,0.6502622437787859,runs/ilm_wt2_p080_lr5e-05_s3_t10
erm,25.0,0.8,5e-05,10,3,runs/erm_wt2_p080_lr5e-05_s3_t10/bh_erm_p080_lr5e-05_s3_t10.csv,0.6639401170002786,runs/erm_wt2_p080_lr5e-05_s3_t10
ilm,25.0,0.8,5e-05,10,4,runs/ilm_wt2_p080_lr5e-05_s4_t10/bh_ilm_p080_lr5e-05_s4_t10.csv,0.6310270310038526,runs/ilm_wt2_p080_lr5e-05_s4_t10
erm,25.0,0.8,5e-05,10,4,runs/erm_wt2_p080_lr5e-05_s4_t10/bh_erm_p080_lr5e-05_s4_t10.csv,0.6578665315564872,runs/erm_wt2_p080_lr5e-05_s4_t10
ilm,25.0,0.8,5e-05,50,0,runs/ilm_wt2_p080_lr5e-05_s0_t50/bh_ilm_p080_lr5e-05_s0_t50.csv,0.6670268164190064,runs/ilm_wt2_p080_lr5e-05_s0_t50
erm,25.0,0.8,5e-05,50,0,runs/erm_wt2_p080_lr5e-05_s0_t50/bh_erm_p080_lr5e-05_s0_t50.csv,0.6500301440219659,runs/erm_wt2_p080_lr5e-05_s0_t50
ilm,25.0,0.8,5e-05,50,1,runs/ilm_wt2_p080_lr5e-05_s1_t50/bh_ilm_p080_lr5e-05_s1_t50.csv,0.6027974678216027,runs/ilm_wt2_p080_lr5e-05_s1_t50
erm,25.0,0.8,5e-05,50,1,runs/erm_wt2_p080_lr5e-05_s1_t50/bh_erm_p080_lr5e-05_s1_t50.csv,0.6528537658136415,runs/erm_wt2_p080_lr5e-05_s1_t50
ilm,25.0,0.8,5e-05,50,2,runs/ilm_wt2_p080_lr5e-05_s2_t50/bh_ilm_p080_lr5e-05_s2_t50.csv,0.6446324931902225,runs/ilm_wt2_p080_lr5e-05_s2_t50
erm,25.0,0.8,5e-05,50,2,runs/erm_wt2_p080_lr5e-05_s2_t50/bh_erm_p080_lr5e-05_s2_t50.csv,0.6747577231725885,runs/erm_wt2_p080_lr5e-05_s2_t50
ilm,25.0,0.8,5e-05,50,3,runs/ilm_wt2_p080_lr5e-05_s3_t50/bh_ilm_p080_lr5e-05_s3_t50.csv,0.6262570262361778,runs/ilm_wt2_p080_lr5e-05_s3_t50
erm,25.0,0.8,5e-05,50,3,runs/erm_wt2_p080_lr5e-05_s3_t50/bh_erm_p080_lr5e-05_s3_t50.csv,0.6452914485009477,runs/erm_wt2_p080_lr5e-05_s3_t50
ilm,25.0,0.8,5e-05,50,4,runs/ilm_wt2_p080_lr5e-05_s4_t50/bh_ilm_p080_lr5e-05_s4_t50.csv,0.6418513891378397,runs/ilm_wt2_p080_lr5e-05_s4_t50
erm,25.0,0.8,5e-05,50,4,runs/erm_wt2_p080_lr5e-05_s4_t50/bh_erm_p080_lr5e-05_s4_t50.csv,0.6186887445931609,runs/erm_wt2_p080_lr5e-05_s4_t50
ilm,25.0,0.8,5e-05,100,0,runs/ilm_wt2_p080_lr5e-05_s0_t100/bh_ilm_p080_lr5e-05_s0_t100.csv,0.6417040252156915,runs/ilm_wt2_p080_lr5e-05_s0_t100
erm,25.0,0.8,5e-05,100,0,runs/erm_wt2_p080_lr5e-05_s0_t100/bh_erm_p080_lr5e-05_s0_t100.csv,0.6431268765608672,runs/erm_wt2_p080_lr5e-05_s0_t100
ilm,25.0,0.8,5e-05,100,1,runs/ilm_wt2_p080_lr5e-05_s1_t100/bh_ilm_p080_lr5e-05_s1_t100.csv,0.5928115863160529,runs/ilm_wt2_p080_lr5e-05_s1_t100
erm,25.0,0.8,5e-05,100,1,runs/erm_wt2_p080_lr5e-05_s1_t100/bh_erm_p080_lr5e-05_s1_t100.csv,0.6554466235132423,runs/erm_wt2_p080_lr5e-05_s1_t100
ilm,25.0,0.8,5e-05,100,2,runs/ilm_wt2_p080_lr5e-05_s2_t100/bh_ilm_p080_lr5e-05_s2_t100.csv,0.621351628492609,runs/ilm_wt2_p080_lr5e-05_s2_t100
erm,25.0,0.8,5e-05,100,2,runs/erm_wt2_p080_lr5e-05_s2_t100/bh_erm_p080_lr5e-05_s2_t100.csv,0.6505546831946518,runs/erm_wt2_p080_lr5e-05_s2_t100
ilm,25.0,0.8,5e-05,100,3,runs/ilm_wt2_p080_lr5e-05_s3_t100/bh_ilm_p080_lr5e-05_s3_t100.csv,0.590491274300687,runs/ilm_wt2_p080_lr5e-05_s3_t100
erm,25.0,0.8,5e-05,100,3,runs/erm_wt2_p080_lr5e-05_s3_t100/bh_erm_p080_lr5e-05_s3_t100.csv,0.6456633699019794,runs/erm_wt2_p080_lr5e-05_s3_t100
ilm,25.0,0.8,5e-05,100,4,runs/ilm_wt2_p080_lr5e-05_s4_t100/bh_ilm_p080_lr5e-05_s4_t100.csv,0.5867333196200575,runs/ilm_wt2_p080_lr5e-05_s4_t100
erm,25.0,0.8,5e-05,100,4,runs/erm_wt2_p080_lr5e-05_s4_t100/bh_erm_p080_lr5e-05_s4_t100.csv,0.6348535138259412,runs/erm_wt2_p080_lr5e-05_s4_t100
ilm,25.0,0.8,5e-05,200,0,runs/ilm_wt2_p080_lr5e-05_s0_t200/bh_ilm_p080_lr5e-05_s0_t200.csv,0.5872113761273042,runs/ilm_wt2_p080_lr5e-05_s0_t200
erm,25.0,0.8,5e-05,200,0,runs/erm_wt2_p080_lr5e-05_s0_t200/bh_erm_p080_lr5e-05_s0_t200.csv,0.6424500057125618,runs/erm_wt2_p080_lr5e-05_s0_t200
ilm,25.0,0.8,5e-05,200,1,runs/ilm_wt2_p080_lr5e-05_s1_t200/bh_ilm_p080_lr5e-05_s1_t200.csv,0.5997234876014972,runs/ilm_wt2_p080_lr5e-05_s1_t200
erm,25.0,0.8,5e-05,200,1,runs/erm_wt2_p080_lr5e-05_s1_t200/bh_erm_p080_lr5e-05_s1_t200.csv,0.6347444618907296,runs/erm_wt2_p080_lr5e-05_s1_t200
ilm,25.0,0.8,5e-05,200,2,runs/ilm_wt2_p080_lr5e-05_s2_t200/bh_ilm_p080_lr5e-05_s2_t200.csv,0.6056411266163523,runs/ilm_wt2_p080_lr5e-05_s2_t200
erm,25.0,0.8,5e-05,200,2,runs/erm_wt2_p080_lr5e-05_s2_t200/bh_erm_p080_lr5e-05_s2_t200.csv,0.6741793045335973,runs/erm_wt2_p080_lr5e-05_s2_t200
ilm,25.0,0.8,5e-05,200,3,runs/ilm_wt2_p080_lr5e-05_s3_t200/bh_ilm_p080_lr5e-05_s3_t200.csv,0.5823051555796593,runs/ilm_wt2_p080_lr5e-05_s3_t200
erm,25.0,0.8,5e-05,200,3,runs/erm_wt2_p080_lr5e-05_s3_t200/bh_erm_p080_lr5e-05_s3_t200.csv,0.5959883177761625,runs/erm_wt2_p080_lr5e-05_s3_t200
ilm,25.0,0.8,5e-05,200,4,runs/ilm_wt2_p080_lr5e-05_s4_t200/bh_ilm_p080_lr5e-05_s4_t200.csv,0.5604163829880976,runs/ilm_wt2_p080_lr5e-05_s4_t200
erm,25.0,0.8,5e-05,200,4,runs/erm_wt2_p080_lr5e-05_s4_t200/bh_erm_p080_lr5e-05_s4_t200.csv,0.6503865520013973,runs/erm_wt2_p080_lr5e-05_s4_t200
ilm,25.0,0.8,5e-05,1000,0,runs/ilm_wt2_p080_lr5e-05_s0_t1000/bh_ilm_p080_lr5e-05_s0_t1000.csv,0.5173053998065004,runs/ilm_wt2_p080_lr5e-05_s0_t1000
erm,25.0,0.8,5e-05,1000,0,runs/erm_wt2_p080_lr5e-05_s0_t1000/bh_erm_p080_lr5e-05_s0_t1000.csv,0.6242797799695027,runs/erm_wt2_p080_lr5e-05_s0_t1000
ilm,25.0,0.8,5e-05,1000,1,runs/ilm_wt2_p080_lr5e-05_s1_t1000/bh_ilm_p080_lr5e-05_s1_t1000.csv,0.5329002637682488,runs/ilm_wt2_p080_lr5e-05_s1_t1000
erm,25.0,0.8,5e-05,1000,1,runs/erm_wt2_p080_lr5e-05_s1_t1000/bh_erm_p080_lr5e-05_s1_t1000.csv,0.6254624953157926,runs/erm_wt2_p080_lr5e-05_s1_t1000
ilm,25.0,0.8,5e-05,1000,2,runs/ilm_wt2_p080_lr5e-05_s2_t1000/bh_ilm_p080_lr5e-05_s2_t1000.csv,0.5130466897120126,runs/ilm_wt2_p080_lr5e-05_s2_t1000
erm,25.0,0.8,5e-05,1000,2,runs/erm_wt2_p080_lr5e-05_s2_t1000/bh_erm_p080_lr5e-05_s2_t1000.csv,0.6522453082192992,runs/erm_wt2_p080_lr5e-05_s2_t1000
ilm,25.0,0.8,5e-05,1000,3,runs/ilm_wt2_p080_lr5e-05_s3_t1000/bh_ilm_p080_lr5e-05_s3_t1000.csv,0.5040933112849401,runs/ilm_wt2_p080_lr5e-05_s3_t1000
erm,25.0,0.8,5e-05,1000,3,runs/erm_wt2_p080_lr5e-05_s3_t1000/bh_erm_p080_lr5e-05_s3_t1000.csv,0.6554364405734104,runs/erm_wt2_p080_lr5e-05_s3_t1000
ilm,25.0,0.8,5e-05,1000,4,runs/ilm_wt2_p080_lr5e-05_s4_t1000/bh_ilm_p080_lr5e-05_s4_t1000.csv,0.5309510822658201,runs/ilm_wt2_p080_lr5e-05_s4_t1000
erm,25.0,0.8,5e-05,1000,4,runs/erm_wt2_p080_lr5e-05_s4_t1000/bh_erm_p080_lr5e-05_s4_t1000.csv,0.6410576183419234,runs/erm_wt2_p080_lr5e-05_s4_t1000
ilm,25.0,0.8,5e-05,2500,0,runs/ilm_wt2_p080_lr5e-05_s0_t2500/bh_ilm_p080_lr5e-05_s0_t2500.csv,0.46448595972664786,runs/ilm_wt2_p080_lr5e-05_s0_t2500
erm,25.0,0.8,5e-05,2500,0,runs/erm_wt2_p080_lr5e-05_s0_t2500/bh_erm_p080_lr5e-05_s0_t2500.csv,0.5974175551672823,runs/erm_wt2_p080_lr5e-05_s0_t2500
ilm,25.0,0.8,5e-05,2500,1,runs/ilm_wt2_p080_lr5e-05_s1_t2500/bh_ilm_p080_lr5e-05_s1_t2500.csv,0.48745540389025227,runs/ilm_wt2_p080_lr5e-05_s1_t2500
erm,25.0,0.8,5e-05,2500,1,runs/erm_wt2_p080_lr5e-05_s1_t2500/bh_erm_p080_lr5e-05_s1_t2500.csv,0.609210381436446,runs/erm_wt2_p080_lr5e-05_s1_t2500
ilm,25.0,0.8,5e-05,2500,2,runs/ilm_wt2_p080_lr5e-05_s2_t2500/bh_ilm_p080_lr5e-05_s2_t2500.csv,0.4525801027627202,runs/ilm_wt2_p080_lr5e-05_s2_t2500
erm,25.0,0.8,5e-05,2500,2,runs/erm_wt2_p080_lr5e-05_s2_t2500/bh_erm_p080_lr5e-05_s2_t2500.csv,0.6154124870832726,runs/erm_wt2_p080_lr5e-05_s2_t2500
ilm,25.0,0.8,5e-05,2500,3,runs/ilm_wt2_p080_lr5e-05_s3_t2500/bh_ilm_p080_lr5e-05_s3_t2500.csv,0.4587514427300894,runs/ilm_wt2_p080_lr5e-05_s3_t2500
erm,25.0,0.8,5e-05,2500,3,runs/erm_wt2_p080_lr5e-05_s3_t2500/bh_erm_p080_lr5e-05_s3_t2500.csv,0.610359107417536,runs/erm_wt2_p080_lr5e-05_s3_t2500
ilm,25.0,0.8,5e-05,2500,4,runs/ilm_wt2_p080_lr5e-05_s4_t2500/bh_ilm_p080_lr5e-05_s4_t2500.csv,0.48951639477366504,runs/ilm_wt2_p080_lr5e-05_s4_t2500
erm,25.0,0.8,5e-05,2500,4,runs/erm_wt2_p080_lr5e-05_s4_t2500/bh_erm_p080_lr5e-05_s4_t2500.csv,0.6057112174451671,runs/erm_wt2_p080_lr5e-05_s4_t2500
ilm,30.0,0.7692307692307692,1e-05,10,0,runs/ilm_wt2_p077_lr1e-05_s0_t10/bh_ilm_p077_lr1e-05_s0_t10.csv,0.655005270144923,runs/ilm_wt2_p077_lr1e-05_s0_t10
erm,30.0,0.7692307692307692,1e-05,10,0,runs/erm_wt2_p077_lr1e-05_s0_t10/bh_erm_p077_lr1e-05_s0_t10.csv,0.6633774621897973,runs/erm_wt2_p077_lr1e-05_s0_t10
ilm,30.0,0.7692307692307692,1e-05,10,1,runs/ilm_wt2_p077_lr1e-05_s1_t10/bh_ilm_p077_lr1e-05_s1_t10.csv,0.6515955947430471,runs/ilm_wt2_p077_lr1e-05_s1_t10
erm,30.0,0.7692307692307692,1e-05,10,1,runs/erm_wt2_p077_lr1e-05_s1_t10/bh_erm_p077_lr1e-05_s1_t10.csv,0.6650813073103142,runs/erm_wt2_p077_lr1e-05_s1_t10
ilm,30.0,0.7692307692307692,1e-05,10,2,runs/ilm_wt2_p077_lr1e-05_s2_t10/bh_ilm_p077_lr1e-05_s2_t10.csv,0.658182485183083,runs/ilm_wt2_p077_lr1e-05_s2_t10
erm,30.0,0.7692307692307692,1e-05,10,2,runs/erm_wt2_p077_lr1e-05_s2_t10/bh_erm_p077_lr1e-05_s2_t10.csv,0.6599258415672755,runs/erm_wt2_p077_lr1e-05_s2_t10
ilm,30.0,0.7692307692307692,1e-05,10,3,runs/ilm_wt2_p077_lr1e-05_s3_t10/bh_ilm_p077_lr1e-05_s3_t10.csv,0.6567130468293068,runs/ilm_wt2_p077_lr1e-05_s3_t10
